OrderID,Date,CustomerID,Product,Quantity,UnitPrice,ShippingAddress,PaymentMethod,OrderStatus,TrackingNumber,ItemsInCart,CouponCode,ReferralSource,TotalPrice
ORD200000,2023-01-04,C72649,Monitor,5,571,928 Main St,Debit Card,Shipped,TRK37947903,7,SAVE10,Instagram,2853
ORD200001,2024-08-23,C75739,Phone,2,151,823 Main St,Online,Shipped,TRK91186779,3,SAVE10,Referral,303
ORD200002,2024-02-27,C81728,Tablet,5,551,512 Main St,Credit Card,Cancelled,TRK42903982,8,FREESHIP,Email,2753
ORD200003,2023-10-15,C33540,Chair,1,273,275 Main St,Debit Card,Returned,TRK62788070,5,SAVE10,Facebook,273
ORD200004,2025-05-08,C81840,Printer,4,626,668 Main St,Online,Delivered,TRK29241424,8,SAVE10,Email,2504
ORD200005,2023-10-23,C37249,Phone,2,246,934 Main St,Credit Card,Shipped,TRK72976927,4,SAVE10,Instagram,492
ORD200006,2025-06-17,C83492,Laptop,1,664,986 Main St,Gift Card,Returned,TRK96417362,6,SAVE10,Facebook,664
ORD200007,2023-05-12,C41460,Monitor,5,150,706 Main St,Cash,Shipped,TRK78809193,9,FREESHIP,Facebook,748
ORD200008,2025-04-02,C26817,Phone,2,134,904 Main St,Gift Card,Cancelled,TRK61042692,2,NO COUPON,Email,269
ORD200009,2023-11-21,C31946,Desk,4,509,102 Main St,Credit Card,Shipped,TRK33478363,6,SAVE10,Google,2038
ORD200010,2023-12-29,C43443,Tablet,5,626,333 Main St,Credit Card,Returned,TRK98859248,9,WINTER15,Instagram,3130
ORD200011,2024-02-17,C93861,Monitor,3,49,831 Main St,Online,Returned,TRK48234646,7,SAVE10,Email,147
ORD200012,2024-10-15,C38785,Monitor,2,181,179 Main St,Debit Card,Pending,TRK20419991,6,FREESHIP,Referral,361
ORD200013,2023-08-30,C88348,Laptop,3,201,903 Main St,Credit Card,Returned,TRK81913874,4,FREESHIP,Facebook,604
ORD200014,2023-03-27,C98474,Tablet,2,393,980 Main St,Debit Card,Pending,TRK79186539,3,SAVE10,Instagram,787
ORD200015,2023-07-17,C39416,Printer,1,474,942 Main St,Cash,Delivered,TRK54930938,3,NO COUPON,Google,474
ORD200016,2023-01-24,C28976,Printer,2,534,914 Main St,Credit Card,Pending,TRK13194259,3,FREESHIP,Email,1068
ORD200017,2024-03-02,C60672,Tablet,1,423,382 Main St,Debit Card,Shipped,TRK11972116,3,NO COUPON,Referral,423
ORD200018,2025-03-26,C84329,Desk,1,431,891 Main St,Gift Card,Pending,TRK65191045,3,SAVE10,Facebook,431
ORD200019,2023-01-23,C14552,Monitor,5,224,273 Main St,Cash,Returned,TRK59101365,9,SAVE10,Google,1120
ORD200020,2023-05-08,C54829,Chair,5,63,587 Main St,Cash,Pending,TRK16718651,9,WINTER15,Instagram,313
ORD200021,2024-11-17,C99023,Monitor,4,343,569 Main St,Cash,Delivered,TRK52646983,6,NO COUPON,Google,1372
ORD200022,2023-01-29,C34416,Monitor,2,50,633 Main St,Online,Pending,TRK75937350,2,SAVE10,Google,99
ORD200023,2025-04-09,C42372,Phone,4,273,755 Main St,Debit Card,Cancelled,TRK36168083,5,FREESHIP,Referral,1093
ORD200024,2024-10-30,C17470,Laptop,2,231,956 Main St,Online,Delivered,TRK28775057,3,WINTER15,Referral,462
ORD200025,2024-07-24,C42577,Monitor,1,400,709 Main St,Debit Card,Delivered,TRK69423327,3,WINTER15,Email,400
ORD200026,2024-03-06,C21944,Laptop,5,60,296 Main St,Online,Delivered,TRK80276812,6,NO COUPON,Referral,298
ORD200027,2024-02-22,C97593,Printer,1,473,881 Main St,Online,Shipped,TRK89117573,6,WINTER15,Google,473
ORD200028,2023-11-21,C59823,Phone,4,160,568 Main St,Online,Pending,TRK65895539,5,NO COUPON,Email,640
ORD200029,2024-09-20,C33260,Desk,3,424,930 Main St,Credit Card,Delivered,TRK59744090,6,SAVE10,Referral,1271
ORD200030,2025-03-22,C44267,Monitor,2,427,895 Main St,Online,Pending,TRK54751444,5,SAVE10,Referral,853
ORD200031,2023-06-30,C26445,Chair,3,500,996 Main St,Debit Card,Returned,TRK31229981,6,NO COUPON,Facebook,1500
ORD200032,2023-05-01,C12388,Tablet,5,537,830 Main St,Cash,Delivered,TRK99261395,10,NO COUPON,Email,2684
ORD200033,2023-06-05,C52184,Chair,1,163,912 Main St,Online,Cancelled,TRK73312471,4,WINTER15,Facebook,163
ORD200034,2023-01-07,C67195,Chair,4,577,926 Main St,Credit Card,Pending,TRK55467915,5,WINTER15,Facebook,2306
ORD200035,2024-12-07,C50304,Monitor,2,465,128 Main St,Online,Shipped,TRK46850888,2,SAVE10,Facebook,930
ORD200036,2025-05-08,C59337,Laptop,2,534,465 Main St,Debit Card,Pending,TRK50961250,5,NO COUPON,Facebook,1069
ORD200037,2024-10-14,C10054,Laptop,2,77,409 Main St,Cash,Returned,TRK94005261,7,SAVE10,Instagram,153
ORD200038,2024-12-19,C15924,Laptop,1,246,549 Main St,Debit Card,Delivered,TRK14835975,3,SAVE10,Google,246
ORD200039,2025-02-27,C96664,Printer,3,256,666 Main St,Credit Card,Delivered,TRK85508960,4,SAVE10,Referral,769
ORD200040,2023-08-20,C84766,Desk,2,344,267 Main St,Online,Delivered,TRK78967923,4,FREESHIP,Instagram,688
ORD200041,2023-12-05,C20212,Monitor,3,611,657 Main St,Gift Card,Pending,TRK69733327,4,FREESHIP,Instagram,1834
ORD200042,2024-05-06,C28712,Printer,2,152,980 Main St,Cash,Cancelled,TRK40772558,6,NO COUPON,Instagram,303
ORD200043,2023-12-14,C60572,Chair,3,499,871 Main St,Online,Cancelled,TRK20351666,8,NO COUPON,Instagram,1498
ORD200044,2025-04-21,C73225,Phone,2,550,996 Main St,Gift Card,Returned,TRK73848522,3,FREESHIP,Referral,1100
ORD200045,2024-02-10,C17388,Chair,1,317,157 Main St,Debit Card,Returned,TRK47077395,1,SAVE10,Facebook,317
ORD200046,2024-06-26,C43212,Monitor,4,550,223 Main St,Debit Card,Pending,TRK25100762,4,FREESHIP,Instagram,2201
ORD200047,2023-07-19,C38134,Desk,2,210,323 Main St,Credit Card,Returned,TRK42450754,3,FREESHIP,Email,420
ORD200048,2023-08-26,C12408,Monitor,2,81,464 Main St,Debit Card,Shipped,TRK38938858,4,NO COUPON,Google,162
ORD200049,2023-10-07,C11985,Printer,1,30,633 Main St,Credit Card,Shipped,TRK53272402,1,SAVE10,Email,30
ORD200050,2023-07-31,C96494,Tablet,1,179,446 Main St,Online,Cancelled,TRK14675049,6,FREESHIP,Instagram,179
ORD200051,2024-12-30,C36778,Tablet,1,388,434 Main St,Cash,Returned,TRK67610289,2,SAVE10,Facebook,388
ORD200052,2024-09-08,C30513,Tablet,1,586,232 Main St,Online,Returned,TRK64320429,5,SAVE10,Facebook,586
ORD200053,2024-05-18,C67551,Phone,4,489,512 Main St,Online,Returned,TRK94992552,5,FREESHIP,Google,1955
ORD200054,2025-03-27,C48120,Chair,1,280,623 Main St,Online,Pending,TRK11014449,5,WINTER15,Email,280
ORD200055,2025-06-24,C95984,Printer,3,344,565 Main St,Online,Cancelled,TRK67434829,3,NO COUPON,Facebook,1033
ORD200056,2023-05-21,C54298,Tablet,3,479,566 Main St,Cash,Cancelled,TRK62902341,5,WINTER15,Referral,1438
ORD200057,2023-01-22,C88036,Printer,5,314,842 Main St,Cash,Returned,TRK52470128,6,SAVE10,Instagram,1571
ORD200058,2023-01-15,C60190,Phone,4,475,202 Main St,Gift Card,Cancelled,TRK70857868,6,SAVE10,Google,1899
ORD200059,2024-09-11,C97603,Chair,4,593,811 Main St,Online,Shipped,TRK47055028,5,NO COUPON,Facebook,2373
ORD200060,2024-08-21,C39256,Desk,1,417,634 Main St,Debit Card,Returned,TRK23412025,3,FREESHIP,Referral,417
ORD200061,2024-03-24,C61618,Desk,4,122,104 Main St,Cash,Delivered,TRK43458485,7,FREESHIP,Facebook,489
ORD200062,2023-08-22,C36497,Desk,2,43,691 Main St,Debit Card,Pending,TRK12102911,3,WINTER15,Email,86
ORD200063,2025-02-02,C96695,Chair,1,565,813 Main St,Debit Card,Shipped,TRK64283851,6,WINTER15,Referral,565
ORD200064,2025-06-25,C49720,Printer,3,131,752 Main St,Debit Card,Cancelled,TRK55785217,4,FREESHIP,Facebook,392
ORD200065,2023-12-30,C97735,Monitor,5,82,385 Main St,Credit Card,Delivered,TRK13743703,6,NO COUPON,Instagram,409
ORD200066,2024-11-15,C18104,Chair,5,127,715 Main St,Cash,Cancelled,TRK15488568,9,SAVE10,Referral,636
ORD200067,2024-12-09,C25587,Printer,4,12,440 Main St,Debit Card,Cancelled,TRK55105323,8,NO COUPON,Google,48
ORD200068,2023-12-11,C41598,Chair,3,491,709 Main St,Credit Card,Pending,TRK81665940,5,FREESHIP,Email,1473
ORD200069,2023-05-11,C43338,Monitor,3,479,552 Main St,Online,Shipped,TRK35241775,4,NO COUPON,Referral,1436
ORD200070,2023-05-26,C25123,Desk,1,629,384 Main St,Gift Card,Pending,TRK27812282,2,FREESHIP,Instagram,629
ORD200071,2025-06-10,C37454,Monitor,3,434,923 Main St,Credit Card,Pending,TRK28252730,4,NO COUPON,Referral,1303
ORD200072,2024-12-22,C19451,Tablet,4,589,942 Main St,Gift Card,Returned,TRK87787793,5,NO COUPON,Facebook,2358
ORD200073,2023-05-03,C17269,Monitor,4,433,129 Main St,Gift Card,Cancelled,TRK79608389,4,NO COUPON,Facebook,1734
ORD200074,2023-06-24,C25382,Phone,5,91,622 Main St,Cash,Pending,TRK64691287,5,NO COUPON,Instagram,454
ORD200075,2023-09-26,C80651,Tablet,3,398,917 Main St,Debit Card,Delivered,TRK14846720,5,SAVE10,Email,1195
ORD200076,2024-03-31,C58638,Laptop,4,383,239 Main St,Cash,Cancelled,TRK38224871,6,WINTER15,Email,1532
ORD200077,2024-05-24,C50121,Phone,1,583,348 Main St,Credit Card,Returned,TRK79810059,5,NO COUPON,Google,583
ORD200078,2024-08-06,C32029,Printer,4,175,146 Main St,Debit Card,Delivered,TRK68535532,4,FREESHIP,Instagram,701
ORD200079,2025-03-10,C76700,Tablet,2,312,103 Main St,Online,Shipped,TRK13036341,2,NO COUPON,Facebook,624
ORD200080,2023-06-27,C29041,Phone,3,590,591 Main St,Online,Returned,TRK28840655,6,NO COUPON,Facebook,1769
ORD200081,2023-06-08,C29314,Monitor,2,394,496 Main St,Cash,Shipped,TRK59876213,6,FREESHIP,Email,789
ORD200082,2024-01-05,C65799,Tablet,4,565,971 Main St,Debit Card,Shipped,TRK66906607,9,SAVE10,Google,2261
ORD200083,2023-08-22,C15681,Laptop,4,540,989 Main St,Credit Card,Cancelled,TRK75112172,6,NO COUPON,Referral,2162
ORD200084,2023-08-28,C64160,Monitor,2,165,967 Main St,Online,Shipped,TRK34121529,4,WINTER15,Instagram,331
ORD200085,2024-09-09,C14553,Tablet,3,147,768 Main St,Cash,Delivered,TRK93538334,8,FREESHIP,Email,440
ORD200086,2024-06-19,C88205,Printer,5,643,447 Main St,Online,Cancelled,TRK93504166,5,FREESHIP,Referral,3215
ORD200087,2024-10-10,C91245,Tablet,3,225,915 Main St,Cash,Shipped,TRK46976391,4,SAVE10,Facebook,675
ORD200088,2025-06-05,C75439,Desk,3,115,318 Main St,Gift Card,Cancelled,TRK19831653,7,NO COUPON,Google,344
ORD200089,2025-02-25,C17181,Printer,5,455,291 Main St,Credit Card,Cancelled,TRK78912978,8,FREESHIP,Google,2277
ORD200090,2023-09-18,C36540,Chair,4,182,611 Main St,Gift Card,Delivered,TRK35828122,4,SAVE10,Email,728
ORD200091,2023-03-15,C98216,Laptop,5,493,196 Main St,Cash,Shipped,TRK40986666,6,WINTER15,Referral,2464
ORD200092,2024-06-10,C29568,Printer,4,49,203 Main St,Online,Shipped,TRK46531075,7,FREESHIP,Facebook,194
ORD200093,2023-01-14,C97262,Desk,4,431,837 Main St,Credit Card,Returned,TRK65990229,7,NO COUPON,Referral,1724
ORD200094,2023-02-11,C79821,Chair,1,531,781 Main St,Gift Card,Returned,TRK12780193,6,WINTER15,Instagram,531
ORD200095,2023-03-24,C76761,Printer,4,118,839 Main St,Debit Card,Returned,TRK60179774,7,NO COUPON,Referral,470
ORD200096,2024-06-01,C93007,Phone,2,233,103 Main St,Gift Card,Delivered,TRK85696091,7,NO COUPON,Instagram,466
ORD200097,2025-01-21,C15624,Tablet,5,620,922 Main St,Debit Card,Pending,TRK40621141,9,NO COUPON,Email,3098
ORD200098,2023-01-14,C70921,Printer,2,229,533 Main St,Debit Card,Pending,TRK54983109,3,NO COUPON,Email,457
ORD200099,2025-04-12,C30477,Printer,1,202,717 Main St,Debit Card,Cancelled,TRK51829648,2,WINTER15,Email,202
